,,,0-19,,20-29,,30-39,,40-49,,50+,,Scoring,,,,,,,Kickoffs,,,,
Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
1,Baltimore Ravens,2,,,,,1,1,2,2,1,1,4,4,52,100.00%,10,9,90.00%,16,863,1,6.30%,53.9
2,Indianapolis Colts,2,,,4,4,3,3,2,2,,,9,9,48,100.00%,5,5,100.00%,14,757,1,7.10%,54.1
3,Detroit Lions,2,,,1,1,2,2,,,1,,4,3,34,75.00%,8,8,100.00%,13,741,1,7.70%,57
4,Dallas Cowboys,2,,,,,,,3,3,3,3,6,6,64,100.00%,6,6,100.00%,11,674,3,27.30%,61.3
5,Buffalo Bills,2,,,2,2,2,2,1,1,1,1,6,6,52,100.00%,5,5,100.00%,14,846,1,7.10%,60.4
6,Jacksonville Jaguars,2,,,2,2,2,2,2,2,,,6,6,47,100.00%,5,5,100.00%,13,711,3,23.10%,54.7
7,Green Bay Packers,2,,,1,1,2,2,1,,1,1,5,4,56,80.00%,6,6,100.00%,12,754,4,33.30%,62.8
8,Atlanta Falcons,2,,,1,1,4,4,2,1,1,1,8,7,54,87.50%,3,3,100.00%,12,727,2,16.70%,60.6
9,Arizona Cardinals,2,,,1,1,,,3,2,1,1,5,4,50,80.00%,5,5,100.00%,11,674,1,9.10%,61.3
10,San Francisco 49ers,2,,,1,,2,1,2,2,,,5,3,46,60.00%,5,4,80.00%,10,633,5,50.00%,63.3
11,Denver Broncos,2,,,,,2,2,1,,,,3,2,39,66.70%,6,6,100.00%,10,618,1,10.00%,61.8
12,Pittsburgh Steelers,2,,,,,,,3,3,2,2,5,5,60,100.00%,4,4,100.00%,12,742,,,61.8
13,Seattle Seahawks,2,,,,,2,1,1,1,1,1,4,3,54,75.00%,5,5,100.00%,10,619,3,30.00%,61.9
14,Los Angeles Chargers,2,,,1,1,3,3,,,,,4,4,39,100.00%,5,5,100.00%,11,689,2,18.20%,62.6
15,Tennessee Titans,2,,,,,4,4,1,1,3,3,8,8,57,100.00%,1,1,100.00%,10,585,3,30.00%,58.5
16,New England Patriots,2,,,1,1,1,1,2,1,1,1,5,4,53,80.00%,4,2,50.00%,11,602,,,54.7
17,New York Giants,2,,,1,1,3,3,,,1,1,5,5,55,100.00%,4,4,100.00%,12,729,,,60.8
18,Los Angeles Rams,2,,,2,2,,,,,,,2,2,21,100.00%,6,5,83.30%,10,610,4,40.00%,61
19,Las Vegas Raiders,2,,,,,1,1,2,2,3,2,6,5,54,83.30%,2,2,100.00%,9,518,1,11.10%,57.6
20,Philadelphia Eagles,2,,,,,,,,,3,3,3,3,58,100.00%,5,5,100.00%,9,540,,,60
21,New Orleans Saints,2,,,1,1,2,1,1,,,,4,2,36,50.00%,4,4,100.00%,8,477,2,25.00%,59.6
22,Kansas City Chiefs,2,,,1,1,1,1,,,3,2,5,4,59,80.00%,3,2,66.70%,9,505,2,22.20%,56.1
23,Chicago Bears,2,,,,,,,1,1,1,,2,1,42,50.00%,6,6,100.00%,9,481,,,53.4
24,Cincinnati Bengals,2,,,,,2,2,,,,,2,2,35,100.00%,6,6,100.00%,10,645,2,20.00%,64.5
25,Tampa Bay Buccaneers,2,,,,,1,,2,1,,,3,1,48,33.30%,5,4,80.00%,9,545,,,60.6
26,Washington Commanders,2,,,,,,,,,3,1,3,1,51,33.30%,4,4,100.00%,8,467,3,37.50%,58.4
27,Cleveland Browns,2,,,,,2,1,1,1,,,3,2,45,66.70%,4,3,75.00%,8,483,2,25.00%,60.4
28,New York Jets,2,,,,,1,1,,,2,2,3,3,51,100.00%,3,3,100.00%,10,566,1,10.00%,56.6
29,Houston Texans,2,,,,,1,1,1,1,3,3,5,5,53,100.00%,1,1,100.00%,8,500,3,37.50%,62.5
30,Minnesota Vikings,2,,,,,2,2,,,2,2,4,4,59,100.00%,1,1,100.00%,8,512,3,37.50%,64
31,Miami Dolphins,2,,,,,,,2,2,,,2,2,44,100.00%,3,3,100.00%,8,419,,,52.4
32,Carolina Panthers,2,,,1,1,,,1,1,,,2,2,48,100.00%,2,2,100.00%,8,386,,,48.3
,Avg Team,,,,0.7,0.6,1.4,1.3,1.2,0.9,1.2,1,4.4,3.8,48.9,86.50%,4.4,4.2,94.40%,10.4,613.1,1.7,16.20%,58.9
,League Total,,,,21,20,46,41,37,30,37,31,141,122,,86.50%,142,134,94.40%,333,19618,54,16.20%,58.9
,Avg Tm/G,,,,0.3,0.3,0.7,0.6,0.6,0.5,0.6,0.5,2.2,1.9,,86.50%,2.2,2.1,94.40%,5.2,306.5,0.8,16.20%,58.9
