Home,Away,H_PTsScrd,H_PTsAllwd,H_FirstDowns,H_RushYDs,H_PassYDs,H_TDs,H_Sacks,H_SacksAllwd,H_TotalYDs,H_YDsAllwd,H_TurnoverMargin,H_PenYDs,H_3rdDwnPCT,H_3rdDwnAtt,H_ToP,H_FGPCT,H_FGAtt,A_PTsScrd,A_PTsAllwd,A_FirstDowns,A_RushYDs,A_PassYDs,A_TDs,A_Sacks,A_SacksAllwd,A_TotalYDs,A_YDsAllwd,A_TurnoverMargin,A_PenYDs,A_3rdDwnPCT,A_3rdDwnAtt,A_ToP,A_FGPCT,A_FGAtt,Outcome
BUF,MIA,35.5,25,27,166,287,4,3,1,450,293,2,53.5,0.41,29,36.58,1,6,17.5,33,14,69.5,230.5,1.5,2,4,284.5,297.5,-4,40,0.45,20,23.77,1,2,1
CAR,ATL,16,17.5,20.5,81,241,2,1,2,303.5,335.5,-3,59,0.43,30,31.12,1,2,21,14.5,21,143.5,216.5,1.5,3.5,2,342,229,3,42,0.4,30,35.87,0.88,8,1
CLE,GB,16.5,29,19.5,82,254,2,3,2,324.5,191.5,-4,47.5,0.47,34,33.82,0.66,3,27,15.5,18,106.5,240,3,4,1,335,238,1,58.5,0.41,22,35.87,0.8,5,1
JAX,HOU,26.5,20.5,20,169.5,224.5,2.5,2,0.5,389,302.5,3,74,0.44,25,32.08,1,6,14,17,15,99,197.5,1,3.5,3,265.5,328,-1,62.5,0.22,18,27.13,1,5,1
MIN,CIN,16.5,23,12,99,150.5,1.5,2.5,4.5,226,321.5,-3,50,0.3,23,25.28,1,4,24,21.5,17.5,47,215,3,1.5,3,245.5,363.5,1,31,0.46,28,25.5,1,2,1
NE,PIT,23,23.5,18,91,258.5,2.5,4.5,3.5,334.5,373.5,1,72.5,0.42,26,31.92,0.8,5,25.5,31.5,16,62.5,229.5,2.5,1.5,3.5,269,394.5,1,20.5,0.36,25,27,1,5,0
PHI,LAR,22,18.5,18,140,126.5,2.5,1,1.5,259,300.5,2,79,0.48,27,33.72,1,3,23.5,14,20,110.5,271.5,3,4,2,367.5,258.5,1,44.5,0.48,25,29.23,1,2,1
TB,NYJ,21.5,19.5,20.5,135,191,3,2,2.5,310,312,0,52.5,0.46,28,30.97,0.33,3,21,32,17,141,150.5,2.5,2.5,2.5,274,337,-2,54.5,0.28,25,28.18,1,3,1
TEN,IND,15.5,26.5,12.5,90,143.5,0.5,1,5.5,192.5,378,2,96.5,0.28,29,29.08,1,8,31,18,26.5,161.5,294,2.5,1.5,1,445.5,267.5,4,56.5,0.46,28,35.42,1,9,0
WAS,LV,19.5,16.5,20,135.5,216.5,2.5,2,3.5,331,317.5,0,59.5,0.33,27,28.5,0.33,3,14.5,16.5,18,62,271,1,3,3.5,303.5,326.5,-2,64,0.45,31,30.82,0.83,6,1
LAC,DEN,23.5,15,18.5,85.5,280,2.5,2.5,2.5,355.5,282.5,2,41,0.46,24,30.5,1,4,24,20.5,21.5,134.5,191,3,3.5,0.5,320.5,303,-3,64,0.42,24,29.9,0.66,3,1
SEA,NO,22,17,17.5,100.5,222.5,2.5,2,1.5,312.5,325.5,0,20,0.38,24,26.65,0.75,4,17,23,21,114,210.5,2,4,2,311,310,0,67,0.36,25,27.73,0.5,4,1
CHI,DAL,22.5,39.5,19.5,126.5,222,3,1.5,3,328,382.5,-2,88.5,0.4,25,31.27,0.5,2,30,30.5,27,127,274.5,3,2,1.5,392.5,404,-1,74,0.52,25,27.6,1,6,1
SF,ARI,21.5,17,23.5,98,278,2.5,2,2,364,268.5,0,50.5,0.52,29,34.35,0.6,5,23.5,17.5,17.5,114,191.5,2.5,2,3,284.5,333.5,1,75,0.41,22,30.25,0.8,5,1
NYG,KC,21.5,30.5,19.5,79,309,2,3,2.5,368.5,455,0,97.5,0.33,30,30.23,1,5,19,23.5,17.5,109.5,222.5,2,2.5,2,320.5,305,-1,58,0.35,26,27.35,0.8,5,0
BAL,DET,40.5,29,16.5,141.5,217,5,1.5,2.5,337,409.5,1,39.5,0.39,23,26.68,1,4,32.5,24,20.5,111.5,279.5,4,2,2,378.5,302.5,1,34,0.36,25,32.87,0.75,4,0
