Home,Away,H_PTsScrd,H_PTsAllwd,H_FirstDowns,H_RushYDs,H_PassYDs,H_TDs,H_Sacks,H_SacksAllwd,H_TotalYDs,H_YDsAllwd,H_TurnoverMargin,H_PenYDs,H_3rdDwnPCT,H_3rdDwnAtt,H_ToP,H_FGPCT,H_FGAtt,A_PTsScrd,A_PTsAllwd,A_FirstDowns,A_RushYDs,A_PassYDs,A_TDs,A_Sacks,A_SacksAllwd,A_TotalYDs,A_YDsAllwd,A_TurnoverMargin,A_PenYDs,A_3rdDwnPCT,A_3rdDwnAtt,A_ToP,A_FGPCT,A_FGAtt,Outcome
LAR,SF,25,20.3,21.5,120.75,278.5,2.75,3.5,2,388.25,284.5,2,48.25,0.4,47,29.9,0.8,10,20,18.8,22,88,287.25,2,1.25,1.5,368,280.5,-5,56,0.48,52,30.38,0.8,10,0
CLE,MIN,14,25.5,17.5,84.75,208.5,1.5,2.75,2.25,279.75,222.5,-6,57.25,0.38,61,31.28,0.71,7,25.5,20,17.25,109.25,213.25,2.75,2.75,4.5,294,281.75,0,71.75,0.31,49,28.77,1,8,0
BAL,HOU,32.8,33.3,18,133.5,230.25,4,1,3.75,338,406.75,-2,36.25,0.41,44,26.32,1,7,16,12.8,15.75,103.5,208,1.5,2.75,2.5,288.75,280.5,-2,60.25,0.29,48,30.32,0.8,10,0
CAR,MIA,18.8,23.8,19.25,100.25,202.75,2.25,0.5,1.5,289.25,327.5,-1,50.5,0.38,55,32.35,0.83,6,20.8,29.5,16.5,98,196,2.5,2,2,286.25,378.75,-2,44.25,0.49,47,26.63,1,4,1
IND,LV,30.8,20.8,23,136.25,269.5,3,2.5,1,397.25,319.75,3,56,0.4,48,31.93,0.93,14,19.3,24.8,17.5,114.25,237,2,2,3,329.5,331,-4,54.5,0.36,53,30.08,0.78,9,1
NO,NYG,16.5,30.3,21.25,124,191.25,1.75,2.75,2.25,301,324,0,63,0.36,53,29.1,0.67,9,18.3,25.3,19.5,112.25,224.25,1.75,2.5,3.25,317,388.5,0,80,0.33,55,31,1,8,1
NYJ,DAL,22.5,30,19.5,144.5,181,2.5,1.5,2.75,304.75,330.25,-7,72.75,0.31,45,28.33,1,7,28.5,33,25.75,123,290,3,1.25,1.5,404.25,420.5,-4,67,0.43,47,29.32,1,9,0
PHI,DEN,27,22,17.75,113.5,152.25,3.5,1.25,1.8,251.5,333.25,4,72.75,0.42,55,31.53,1,4,24,16.8,20.25,143.25,215.25,3,3.75,0.75,354.5,285.25,-2,72.5,0.39,51,30.35,0.8,5,0
ARI,TEN,20.5,18.5,17.25,105.75,185.5,2,2,3.25,270.5,351.5,1,56.5,0.38,52,30.68,0.8,10,12.8,30,14,87,153.5,0.75,1,4.25,210.5,368.5,0,74,0.28,54,27.78,0.71,14,0
SEA,TB,27.8,16.8,19.25,110.75,230,3,3,1.5,332.25,297,1,46,0.39,46,28.35,0.82,11,24.3,24.3,19.5,124,226,2.5,2.5,2,335.75,272.75,0,67.25,0.37,54,31.5,0.75,12,0
CIN,DET,15.3,29.8,14,50,173.75,1.75,1.5,3.25,205.25,397.75,-3,43,0.36,50,25.52,1,4,34.3,22,20.25,139,232.25,4.25,3.5,1,365,293,4,42.75,0.42,53,31.82,0.75,8,0
LAC,WAS,22,17.8,20.75,107.25,265.75,2.25,3.25,3,356.25,270,-2,53.5,0.43,53,30.47,1,8,26.8,22.8,18.5,154.75,199,3,2.5,2.5,339,356,-1,55.75,0.33,45,27.72,0.7,10,0
BUF,NE,33.3,22.5,24.25,166,249,4,2.25,1.75,404,290,3,49.25,0.42,50,34.07,0.89,9,25.5,20.3,19.5,101.25,247,3.25,2.5,3.25,336.25,319,-3,63.25,0.42,48,30.48,0.8,5,1
JAX,KC,24,18,18.75,144,211.25,2.5,1.75,0.75,348.5,316.25,9,77,0.35,54,32,0.82,11,24.3,19,20.25,110.5,234.75,2.5,2.5,1.75,332.25,312.75,3,60.25,0.39,56,30.32,0.77,13,1
